headline,section,locations,word_count,snippet,source,subjects,url,desk,date,type,id
A Border Town’s Fragile Revival,World,[u'Mexico'],38,"When the nearby border entry closed in 2002, Boquillas del Carmen in Mexico was virtually abandoned. Since reopening in 2012, the town has once again become a tourist attraction, but the proposed border wall could pose a threat....",The New York Times,[u'Border Barriers'],https://www.nytimes.com/video/world/americas/100000004959259/a-border-towns-fragile-revival.html,World / Americas,2017-04-03,Video,58e20f4295d0e02489b94d72
Also Made in Mexico: Lifesaving Medical Devices,Business Day,[u'Mexico'],1657,The medical supply industry makes a particularly revelatory case study of the difficulties of untangling global trade....,The New York Times,"[u'Medical Devices', u'International Trade and World Market', u'Factories and Manufacturing', u'Protectionism (Trade)', u'North American Free Trade Agreement']",https://www.nytimes.com/2017/03/31/business/us-mexico-trade-medical-devices.html,Business,2017-03-31,News,58de36d595d0e02489b94726
Renegotiate Nafta? Mexicans Say Get On With It,World,[u'Mexico'],1193,"Uncertainty over the trade deal is hitting the country hard, pinching off foreign investment and lowering growth expectations....",The New York Times,"[u'North American Free Trade Agreement', u'International Trade and World Market', u'United States International Relations', u'Economic Conditions and Trends', u'United States Politics and Government']",https://www.nytimes.com/2017/03/25/world/americas/nafta-renegotiation-mexico.html,Foreign,2017-03-25,News,58d690c195d0e02489b932e8
"While Scolding Trump, Mexico Seeks to Curtail Citizens’ Rights",World,[u'Mexico'],2444,"A bill to overhaul the legal system would set back human rights in Mexico by decades, experts fear, while another bill would legalize the military’s domestic security role....",The New York Times,"[u'Human Rights and Human Rights Violations', u'United States International Relations']",https://www.nytimes.com/2017/03/16/world/americas/mexico-trump-pena-nieto-wall-drug-war.html,Foreign,2017-03-16,News,58ca544595d0e02489b915b1
Mexico Protests Ruling Knocking It Out of World Baseball Classic,Sports,[u'Mexico'],844,"The team protested a decision by Major League Baseball officials to have Venezuela play Italy in a tiebreaker game on Monday, saying a rule was not clear....",The New York Times,"[u'Baseball', u'World Baseball Classic']",https://www.nytimes.com/2017/03/13/sports/baseball/wbc-baseball-mexico-protest.html,Sports,2017-03-13,News,58c6d75295d0e024902ff1e6
Design Competition — or Ideological Crisis?,Opinion,[u'Mexico'],1153,The architecture community is up in arms over Trump’s Request for Proposal for a Mexican-border wall....,The New York Times,"[u'Architecture', u'Border Barriers', u'United States Politics and Government', u'Design']",https://www.nytimes.com/2017/03/10/opinion/design-competition-or-ideological-crisis.html,OpEd,2017-03-10,Op-Ed,58c2620e95d0e024902fe9d0
Here’s the Reality About Illegal Immigrants in the United States,U.S.,[u'Mexico'],0,Untangling the conflicting portraits of undocumented immigrants....,The New York Times,"[u'Illegal Immigration', u'Visas', u'Hispanic-Americans', u'Deportation']",https://www.nytimes.com/interactive/2017/03/06/us/politics/undocumented-illegal-immigrants.html,U.S.,2017-03-06,Interactive Feature,58bd332895d0e024902fdba2
State Dept. Official Praises Mexican Efforts in War on Drugs,World,[u'Mexico'],493,"The endorsement, from an Obama administration appointee, comes as the Trump administration is taking a hard look at all aid to Mexico....",The New York Times,"[u'United States International Relations', u'Drug Abuse and Traffic']",https://www.nytimes.com/2017/03/02/world/americas/drug-narcotics-mexico-state-department.html,Foreign,2017-03-02,News,58b8738895d0e024902fd335
"Before Vaquitas Vanish, a Desperate Bid to Save Them",Science,[u'Mexico'],1534,No more than 30 vaquitas are left in Mexico’s Gulf of California. Experts propose keeping some in captivity as a last resort....,The New York Times,"[u'Poaching (Wildlife)', u'Dolphins and Porpoises', u'Conservation of Resources', u'Endangered and Extinct Species', u'Fishing, Commercial']",https://www.nytimes.com/2017/02/27/science/vaquitas-dolphins-mexico-extinction.html,Science,2017-02-27,News,58b49cad95d0e024902fc865
The Murders of My Colleagues,Opinion,[u'Mexico'],950,Dead Mexican journalists are old news. But we can’t stop covering them....,The New York Times,"[u'Murders, Attempted Murders and Homicides', u'News and News Media', u'Drug Cartels', u'Corruption (Institutional)']",https://www.nytimes.com/2017/02/25/opinion/sunday/the-murders-of-my-colleagues.html,OpEd,2017-02-25,Op-Ed,58b1f6ec95d0e0247463898a
"For Commerce Pick Wilbur Ross, ‘Inherently Bad’ Deals Paid Off",World,[u'Mexico'],1798,"Mr. Ross, who amassed a fortune with help from trade deals like Nafta, has vowed to tear up those deals if confirmed as commerce secretary....",The New York Times,"[u'North American Free Trade Agreement', u'International Trade and World Market', u'Labor and Jobs', u'United States Politics and Government']",https://www.nytimes.com/2017/02/25/world/americas/wilbur-ross-trump-commerce-secretary.html,Foreign,2017-02-25,News,58b1caf295d0e02474638937
Mexican Village Art Colors Their World,Arts,[u'Mexico'],615,Alan and Trudy Goldberg have spent a lifetime together collecting art in Mexico. Now their finds are bound for the new Mexican Museum in San Francisco....,The New York Times,"[u'Art', u'Collectors and Collections']",https://www.nytimes.com/2017/02/23/arts/design/mexican-village-art-colors-their-world.html,Weekend,2017-02-23,News,58af48a195d0e024746383bd
The New Age of Traditional Mexican Mole,T Magazine,[u'Mexico'],1061,"The country’s top chefs are reinventing the complex sauce — 10, 20, even 30 ingredients at a time....",The New York Times,"[u'Restaurants', u'Chefs', u'Mexican Food (Cuisine)']",https://www.nytimes.com/2017/02/23/t-magazine/food/mole-mexico-chefs.html,TStyle,2017-02-23,News,58af276f95d0e02474638349
"As Kelly and Tillerson Visit Mexico, Their Reassurances Differ From Trump’s Stance",World,[u'Mexico'],1491,Top U.S. officials held a news conference in Mexico City as policy announcements from the White House continue to enrage the Mexican public....,The New York Times,"[u'United States International Relations', u'Illegal Immigration', u'International Trade and World Market', u'United States Politics and Government', u'Executive Orders and Memorandums']",https://www.nytimes.com/2017/02/23/world/americas/john-kelly-rex-tillerson-mexico.html,Foreign,2017-02-23,News,58af5e1995d0e02474638408
Rex Tillerson Arrives in Mexico Facing Twin Threats to Relations,World,[u'Mexico'],1165,President Trump’s orders to deport immigrants in the United States illegally and an effort to review all American aid to Mexico complicate the secretary of state’s task....,The New York Times,"[u'United States International Relations', u'Immigration and Emigration', u'Foreign Aid', u'Deportation']",https://www.nytimes.com/2017/02/22/world/americas/rex-tillerson-mexico-border-relations.html,Foreign,2017-02-23,News,58ae45de95d0e024746380fd
Sales Fall Again in Mexico’s Second Year of Taxing Soda,The Upshot,[u'Mexico'],577,"The best evidence to date of how sizable taxes on sugary drinks, increasingly favored by large American cities, may influence consumer behavior....",The New York Times,"[u'Soft Drinks', u'Sales and Excise Taxes', u'Sugar', u'Medicine and Health', u'Taxation', u'Beverages']",https://www.nytimes.com/2017/02/22/upshot/soda-sales-fall-further-in-mexicos-second-year-of-taxing-them.html,Upshot,2017-02-22,News,58ae02dd95d0e0247463806f
Trump’s Immigration Policies Explained,U.S.,[u'Mexico'],1953,The administration has significantly hardened the country’s policies regarding illegal immigration. Here are some of the most significant elements of the new approach....,The New York Times,"[u'Illegal Immigration', u'Deferred Action for Childhood Arrivals', u'United States Politics and Government']",https://www.nytimes.com/2017/02/21/us/trump-immigration-policies-deportation.html,National,2017-02-22,News,58ad0b0f95d0e02474637dc7
President Trump Wants a Wall? Mexico Is It,Business Day,[u'Mexico'],1217,Talk of a Mexican border wall to stop illegal immigration ignores the fact that Mexico has been stopping and returning Central American migrants....,The New York Times,"[u'Border Barriers', u'Illegal Immigration', u'United States International Relations', u'United States Politics and Government']",https://www.nytimes.com/2017/02/21/business/economy/mexico-immigration-border-wall.html,Business,2017-02-21,News,58ac884995d0e02474637c8f
"The Road, or Flight, From Detention to Deportation",U.S.,[u'Mexico'],1073,"For undocumented immigrants, the path is sometimes long and usually twisted....",The New York Times,"[u'Illegal Immigration', u'Deportation', u'United States Politics and Government']",https://www.nytimes.com/2017/02/20/us/the-road-or-flight-from-detention-to-deportation.html,National,2017-02-20,News,58ab3b6995d0e024746379e7
Not ‘Beautiful’: A Wall Between the U.S. and Mexico,Opinion,[u'Mexico'],503,Readers who know the border towns discusses the situation there....,The New York Times,"[u'Border Barriers', u'Illegal Immigration', u'Immigration and Emigration']",https://www.nytimes.com/2017/02/17/opinion/not-beautiful-a-wall-between-the-us-and-mexico.html,Letters,2017-02-17,Letter,58a75a8795d0e024746373b7
Why Trump’s Wall Won’t Keep Out Heroin,Opinion,[u'Mexico'],885,"It’s the easiest drug to traffic in small batches because it is so easy to condense, and to cut later. And it is very lucrative to smuggle....",The New York Times,"[u'Border Barriers', u'Heroin', u'Drug Abuse and Traffic', u'Smuggling']",https://www.nytimes.com/2017/02/16/opinion/sunday/why-trumps-wall-wont-keep-out-heroin.html,OpEd,2017-02-16,Op-Ed,58a5bf0695d0e02474636e18
"Hate Group Numbers in U.S. Rose for 2nd Year in a Row, Report Says",U.S.,[u'Mexico'],719,"The number of anti-Muslim groups grew the most, almost tripling to 101 in 2016 from 34 in 2015, according to the Southern Poverty Law Center....",The New York Times,"[u'Muslims and Islam', u'Immigration and Emigration', u'Discrimination']",https://www.nytimes.com/2017/02/15/us/hate-groups-increase-usa.html,National,2017-02-16,News,58a4ef5895d0e02474636bfe
Profitable Pickups May Be in Cross Hairs of Trump Border Tax,Business Day,[u'Mexico'],1116,"Trucks from General Motors and Chrysler rely heavily on Mexican labor and parts. If a tariff wall goes up, Ford could benefit at their expense....",The New York Times,"[u'Automobiles', u'International Trade and World Market', u'Sports Utility Vehicles and Light Trucks', u'Customs (Tariff)']",https://www.nytimes.com/2017/02/13/business/general-motors-mexico-pickups.html,Business,2017-02-13,News,58a183c295d0e0247463617a
Spyware’s Odd Targets: Backers of Mexico’s Soda Tax,Technology,[u'Mexico'],1653,The first hints that the phones of nutrition policy makers were infected were strange messages from unknown contacts....,The New York Times,"[u'Cyberwarfare and Defense', u'Sales and Excise Taxes', u'Surveillance of Citizens by Government']",https://www.nytimes.com/2017/02/11/technology/hack-mexico-soda-tax-advocates.html,Business,2017-02-11,News,589f4edd95d0e02474635d2a
Jose Cuervo Seeks More Than $700 Million in a Stock Offering,Business Day,[u'Mexico'],291,"Despite turmoil on the Mexican stock market after Donald Trump’s election, shares of the world’s biggest tequila maker are set to begin trading....",The New York Times,"[u'Initial Public Offerings', u'Tequila']",https://www.nytimes.com/2017/02/08/business/dealbook/jose-cuervo-seeks-more-than-700-million-in-a-stock-offering.html,Business,2017-02-08,News,589b687495d0e0392607f496
U.S. Appetite for Mexico’s Drugs Fuels Illegal Immigration,U.S.,"[u'Arizona', u'Mexico']",1359,President Trump’s border policies focus on keeping people out. But some officials say the flow of drug money going from north to south is an equal part of the problem....,The New York Times,"[u'Illegal Immigration', u'Drug Abuse and Traffic', u'Immigration and Emigration', u'Smuggling', u'Drug Cartels']",https://www.nytimes.com/2017/04/04/us/politics/us-appetite-for-mexicos-drugs-fuels-illegal-immigration.html,National,2017-04-05,News,58e4404f95d0e02489b9536c
"Lorenzo Servitje, a Founder of the World’s Biggest Bakery, Dies at 98",Business Day,[u'Mexico'],781,"Mr. Servitje helped build Grupo Bimbo, a Mexican conglomerate whose trademarks include Wonder Bread, Sara Lee and Entenmann’s....",The New York Times,"[u'Bread', u'Deaths (Obituaries)', u'Bakeries and Baked Products']",https://www.nytimes.com/2017/02/06/business/lorenzo-servitje-a-founder-of-the-worlds-biggest-bakery-dies-at-98.html,Business,2017-02-06,Obituary (Obit),58990b4e95d0e0392607eed6
"After Calling Nafta ‘Worst Trade Deal,’ Trump Appears to Soften Stance",Business Day,"[u'Canada', u'Mexico']",1234,"The White House will propose keeping major planks of Nafta in place, while signing orders that lay the groundwork for stricter enforcement of trade laws....",The New York Times,"[u'North American Free Trade Agreement', u'International Trade and World Market', u'United States Politics and Government', u'United States International Relations']",https://www.nytimes.com/2017/03/30/business/nafta-trade-deal-trump.html,National,2017-03-30,News,58dd27b295d0e02489b94410
Mexico Takes First Step Before Talks With U.S. on Nafta,World,[u'Mexico'],640,The government said it was beginning a 90-day consultation with the Senate and private sector before talks to review the trade accord with the United States....,The New York Times,"[u'North American Free Trade Agreement', u'United States Politics and Government']",https://www.nytimes.com/2017/02/01/world/americas/mexico-nafta-renegotiation-trump-wall.html,Foreign,2017-02-02,News,5892a66895d0e0392607e204
Trump’s Mexican Shakedown,Opinion,[u'Mexico'],937,You just can’t force a neighboring country to pay for your infrastructure....,The New York Times,"[u'Border Barriers', u'Illegal Immigration', u'United States International Relations']",https://www.nytimes.com/2017/02/02/opinion/trumps-mexican-shakedown.html,OpEd,2017-02-02,Op-Ed,5892ec0795d0e0392607e28c
